,Term,Age1,MUDI,Avg Transactions,Avg Bal,Avg Turnover,Time with Bank Years,Total Salary,Multiple Customers,Single Purpose,Outcome_G
120,60,4101,6,53,1767,9391,14,48,1,0,0
121,60,4301,1,40,1470,4502,7,76,0,1,0
122,36,2008,6,4,4128,48,13,13,0,0,0
123,60,4311,0,0,20,44,9,0,1,0,0
124,24,4610,2,5,844,295,9,0,1,0,0
125,60,5801,5,14,5857,2535,7,35,1,0,0
126,24,3602,4,50,248,2849,8,39,0,0,0
127,60,3904,3,53,28,3569,5,78,1,0,0
128,24,2305,5,22,405,3116,8,26,0,0,0
129,15,2710,5,4,805,70,2,16,0,0,0
130,48,4201,5,35,1436,12232,9,35,1,0,0
131,84,3805,3,14,596,1899,9,15,0,0,0
132,84,2705,1,16,513,1799,4,10,0,0,0
133,48,2904,0,0,0,0,8,70,0,1,0
134,48,4110,1,37,231,3635,8,31,0,1,0
135,60,4807,0,2,2507,2500,10,26,1,0,0
136,60,3711,1,52,5,6166,2,60,1,0,0
137,36,5403,5,20,1398,3651,10,67,0,0,0
138,60,4207,2,31,445,4500,18,80,0,0,0
139,120,3708,0,28,1549,2209,18,30,0,0,0
140,27,4402,6,1,924,15,7,9,0,0,0
141,24,5509,5,23,1967,1823,11,23,0,0,0
142,60,5700,4,23,2103,2504,8,43,0,0,0
143,60,6001,2,43,1710,7109,8,79,0,0,0
144,15,2908,5,15,2,3005,6,43,0,0,0
145,120,5202,0,2,20,130,14,27,0,0,0
146,24,5002,4,28,1877,3105,2,47,0,0,0
147,120,6002,4,17,24209,3783,13,24,0,0,0
148,60,4009,5,25,281,1088,4,37,1,0,0
149,60,5302,4,3,13875,0,13,100,1,0,0
150,60,2500,6,37,466,3286,15,37,0,1,0
151,36,5009,0,0,0,0,19,120,0,1,0
152,60,3805,1,28,2879,2107,6,40,1,0,0
153,24,5301,6,20,334,1240,14,0,0,0,0
154,36,5303,5,30,4706,8961,13,43,1,0,0
155,60,5811,0,0,0,0,4,47,0,0,0
156,72,4010,0,7,6,1244,13,30,1,0,0
157,24,4303,4,13,1374,1948,4,46,0,1,0
158,24,3511,5,26,1819,1908,10,15,0,0,0
159,60,4403,0,7,7,103,18,10,0,0,0
160,60,6000,3,11,548,1300,3,134,0,0,0
161,60,4705,0,41,3140,2592,10,13,0,1,0
162,15,3009,5,2,1665,570,9,10,0,0,0
163,48,3503,0,23,11241,4771,10,33,0,1,0
164,60,4501,2,24,454,2347,4,9,0,0,0
165,84,4300,2,22,667,3223,10,49,0,0,0
166,60,5503,3,27,9040,5965,15,85,1,0,0
167,60,4607,6,1,5106,28,13,38,0,0,0
168,60,6401,2,7,306,1131,14,36,1,0,0
169,60,5202,0,15,864,821,9,18,0,0,0
170,120,3911,1,27,21672,25222,3,86,1,0,0
171,24,2901,1,30,1069,2088,3,31,0,0,0
172,60,2405,4,16,5,1388,5,10,0,0,0
173,60,3110,0,27,864,3405,5,38,0,1,0
174,24,4003,1,28,1090,3194,4,36,0,1,0
175,48,4400,6,29,141,3396,6,38,1,0,0
176,24,5609,0,12,293,1908,6,26,0,1,0
177,72,3811,2,54,7961,3583,22,69,0,0,0
178,120,2405,6,8,509,316,1,10,0,0,0
179,36,2901,3,30,816,2076,3,18,0,0,0
180,60,4306,5,47,340,2734,5,13,0,0,0
181,84,6206,6,65,46120,26919,15,300,0,0,0
182,60,2809,2,26,139,2723,6,35,0,0,0
183,36,5705,0,0,2,6,10,58,1,0,0
184,60,5911,6,37,775,937,10,13,0,0,0
185,24,2211,5,28,629,1806,3,23,0,0,0
186,120,4308,5,5,14809,63,6,30,0,0,0
187,36,2609,5,5,13,294,10,29,0,0,0
188,48,3107,6,45,110,2666,3,20,1,0,0
189,24,5210,4,2,2433,228,17,100,0,0,0
190,60,3400,6,12,68,781,6,8,0,0,0
191,48,6308,3,3,2952,229,9,36,0,0,0
192,60,5504,0,2,1866,3000,11,27,0,1,0
193,96,5111,6,4,1772,79,12,9,0,0,0
194,60,5508,5,19,1010,2152,9,54,1,0,0
195,48,4001,0,17,3679,5090,6,27,0,1,0
196,72,5401,3,21,22,3401,16,27,0,0,0
197,60,5008,0,10,2435,1214,7,10,0,0,0
198,60,3311,2,7,6,835,4,31,1,0,0
199,60,6208,0,7,1810,2554,12,77,0,1,0
200,42,5705,0,0,21,0,5,0,0,0,0
201,36,5800,0,12,860,2915,16,36,0,1,0
202,60,5606,0,24,233,2084,10,26,0,0,0
203,84,4708,3,16,206,1037,8,17,1,0,0
204,120,3604,6,1,54,0,6,65,1,0,0
205,48,3101,2,3,14,264,7,65,1,0,0
206,36,3008,0,15,379,1547,13,22,0,1,0
207,18,6103,0,22,151,1070,16,11,0,0,0
208,120,4605,6,14,1987,209,10,33,1,0,0
209,72,4602,4,23,1512,1449,10,26,0,0,0
210,36,5300,3,10,9502,2279,16,27,0,0,0
211,60,3911,4,25,34,4652,4,17,0,0,0
212,48,2404,3,35,327,2603,4,30,0,0,0
213,60,3410,0,0,0,76265,1,411,0,0,0
214,18,3406,5,19,441,732,9,29,0,0,0
215,24,5810,0,0,0,0,10,16,0,0,0
216,60,3909,4,41,2306,8725,7,18,1,0,0
217,36,4205,0,18,46,2785,11,51,1,1,0
218,36,6210,0,9,343,600,10,18,0,1,0
219,60,3509,3,36,1760,2810,10,36,0,0,0
220,72,2811,3,28,122,1838,8,10,0,0,0
221,60,5502,6,14,20148,3418,12,15,1,0,0
222,84,4501,6,3,4643,188,9,21,0,0,0
223,96,4700,0,4,43178,24794,16,29,0,0,0
224,60,4405,6,4,1569,191,0,2,1,0,0
225,48,3110,4,16,37,4820,8,63,0,0,0
226,60,4509,6,28,684,5315,10,24,0,0,0
227,60,3900,6,13,24,1443,14,18,1,0,0
228,60,2402,3,39,1187,3330,2,35,1,0,0
229,24,2406,5,26,3740,2727,7,25,0,0,0
230,24,2406,6,1,1656,0,6,10,0,0,0
231,120,2809,0,4,15,161,7,12,0,0,0
232,60,5609,2,4,6082,1706,16,53,0,1,0
233,60,3707,5,13,1948,893,7,40,1,0,0
234,36,4211,2,17,620,1116,4,16,0,0,0
235,60,1907,1,39,360,2526,2,35,0,1,0
236,60,3406,0,0,0,0,4,46,0,0,0
237,36,3406,1,20,229,1325,12,19,0,1,0
238,36,5902,5,7,526,1090,10,8,0,0,0
239,48,6411,6,10,21035,350,10,14,0,0,0
240,120,3711,1,31,1954,2243,10,18,1,0,0
241,48,5107,3,32,1362,4370,9,37,0,0,0
242,12,2911,6,14,727,1405,13,50,0,0,0
243,36,4204,2,42,1093,3740,7,45,1,1,0
244,60,3411,2,25,2390,3053,9,52,0,0,0
245,60,2801,4,41,88,3234,6,35,0,1,0
246,60,5201,4,41,9458,5655,10,38,1,0,0
247,36,5306,4,13,7691,1881,7,6,1,0,0
248,24,3111,0,25,111,935,18,0,0,0,0
249,30,4406,5,33,149,2668,12,39,0,0,0
250,60,2907,5,26,1414,2370,5,25,0,0,0
251,60,3411,6,25,290,2507,6,45,1,0,0
252,30,5011,0,12,1179,2587,9,37,0,1,0
253,60,4500,3,9,640,468,5,24,0,0,0
254,24,4009,1,19,551,2778,13,42,0,1,0
255,84,3411,1,3,46,442,1,9,0,0,0
256,60,4301,5,8,4763,361,6,23,1,0,0
257,60,4605,5,3,355,525,10,28,0,0,0
258,36,6300,0,0,0,0,10,25,0,0,0
259,120,4709,4,3,4025,280,9,24,0,0,0
260,36,5111,3,20,1838,1956,15,18,0,0,0
261,60,6903,5,1,595,55,16,39,0,0,0
262,18,4701,5,23,1072,2825,9,37,0,0,0
263,60,6207,3,3,949,512,10,13,0,0,0
264,36,2905,5,6,76,122,10,10,0,0,0
265,36,4703,4,21,769,4277,10,14,0,0,0
266,60,3711,1,20,2535,883,8,19,0,0,0
267,54,4800,0,36,1181,2922,13,34,0,1,0
268,60,4501,4,42,16670,11662,6,54,1,0,0
269,60,4411,6,4,12052,200,10,0,0,0,0
270,24,3109,0,29,6482,3401,9,3,0,0,0
271,60,3810,0,32,944,3162,8,45,0,1,0
272,60,5904,2,21,5036,10765,10,75,1,0,0
273,84,2708,1,6,286,503,6,10,0,0,0
274,36,2201,6,3,68,29,4,27,0,0,0
275,60,4905,0,0,0,0,10,23,0,0,0
276,60,6401,3,8,1765,440,10,57,1,0,0
277,42,4304,6,15,936,1700,14,21,0,0,0
278,36,2600,0,11,387,1825,2,40,0,0,0
279,72,3700,2,19,76,3183,7,72,1,0,0
280,120,3306,0,11,5403,4937,5,40,1,0,0
281,24,3702,3,11,851,671,2,40,0,0,0
282,60,3804,0,2,267,366,9,24,0,0,0
283,36,4310,4,36,2885,3969,12,34,0,0,0
284,84,2704,0,1,8007,8000,14,30,0,1,0
285,33,5007,3,48,1704,6684,17,18,1,0,0
286,48,3705,6,23,6,1071,17,28,0,1,0
287,36,3511,0,38,51,3493,9,30,0,1,0
288,60,4403,6,15,32,872,3,9,0,0,0
289,60,2308,4,44,367,1382,7,12,0,0,0
290,60,4900,0,14,453,2780,12,33,0,1,0
291,12,4210,0,22,955,2371,17,22,0,1,0
292,120,3700,0,80,274,3597,12,42,1,0,0
293,60,5805,0,0,0,0,12,36,0,1,0
294,72,5207,6,12,2001,1303,9,26,0,0,0
295,60,3308,0,20,341,1145,11,11,0,0,0
296,60,3805,5,6,12761,238,15,23,0,0,0
297,120,3408,5,54,213,5612,2,76,1,0,0
298,36,5808,6,75,303,3055,9,12,0,0,0
299,36,3207,5,39,1761,3057,4,18,1,0,0
300,120,3504,2,7,506,131,6,10,0,0,0
301,24,4100,1,4,1052,600,3,0,0,0,0
302,60,5302,0,16,627,2706,10,37,0,1,0
303,36,6802,4,17,4872,1488,13,54,0,0,0
304,24,4100,5,35,2760,2722,14,30,0,1,0
305,60,3502,5,28,1039,2927,15,16,0,0,0
306,24,2609,4,19,295,463,4,23,0,0,0
307,60,3311,4,27,1744,2706,10,40,0,0,0
308,36,3011,0,47,323,5612,3,60,0,1,0
309,84,2607,4,21,1838,1782,2,9,0,0,0
310,120,5705,4,22,302,1344,9,9,0,0,0
311,36,3105,2,48,1094,6024,4,60,0,1,0
312,36,4800,5,18,1252,2033,3,20,0,0,0
313,60,4900,2,21,483,4246,0,54,1,0,0
314,18,4910,6,48,360,2706,10,49,1,0,0
315,60,4809,6,0,849,0,9,16,0,0,0
316,60,5308,0,15,26590,25282,4,0,1,1,0
317,24,6304,4,24,1975,6106,9,128,1,0,0
318,24,7105,0,7,1154,2081,13,106,0,0,0
319,24,4205,2,30,118,764,3,22,1,0,0
320,60,4510,2,20,595,2222,3,28,0,1,0
321,36,3600,5,31,346,2388,19,44,1,0,0
322,60,5607,1,2,79,36,20,37,1,0,0
323,36,5304,5,20,991,692,10,0,0,0,0
324,60,4508,6,18,988,1934,6,14,0,0,0
325,72,6006,4,41,1177,2174,9,21,1,0,0
326,36,4300,4,13,106,681,7,40,0,0,0
327,96,3205,5,9,906,723,16,16,1,0,0
328,30,4003,6,47,404,2950,13,48,1,1,0
329,60,3209,0,9,1141,1333,10,54,1,1,0
330,60,3005,0,26,90,793,9,14,1,0,0
331,120,2309,1,28,186,2737,7,12,0,0,0
332,24,6509,2,3,930,58,17,19,0,0,0
333,48,4907,3,40,4427,4455,18,24,0,0,0
334,108,3201,2,24,948,1892,4,42,1,0,0
335,60,4711,1,53,929,5859,4,34,0,1,0
336,36,2708,5,19,435,1375,6,19,0,0,0
337,36,5204,6,17,2003,435,9,20,0,0,0
338,72,5201,6,20,1984,1466,19,32,1,0,0
339,21,5207,6,4,1492,87,4,23,0,0,0
340,18,3202,2,9,861,650,6,30,0,0,0
341,36,2500,1,23,408,2865,8,23,0,0,0
342,12,6103,0,5,960,1083,12,19,0,0,0
343,48,3706,0,55,24853,8530,2,27,0,1,0
344,36,3604,1,13,1991,1736,14,21,0,0,0
345,36,4511,6,25,1138,2628,10,41,0,1,0
346,48,6607,0,17,559,1236,3,8,0,0,0
347,84,3911,0,0,2013,0,5,29,0,0,0
348,60,4008,5,77,3678,5036,5,81,1,0,0
349,60,4511,6,1,5440,83,9,18,1,0,0
350,24,5303,1,10,1173,1298,10,32,0,0,0
351,60,4503,6,31,106,4194,12,43,1,0,0
352,60,5111,1,24,2810,1794,10,20,0,0,0
353,36,5610,5,50,1149,2281,10,54,0,1,0
354,24,4910,0,0,507,16,3,16,0,0,0
355,36,4704,1,23,3256,2412,15,25,0,0,0
356,60,4300,5,8,16,116,11,23,0,0,0
357,48,3202,3,27,98,1465,13,32,0,0,0
358,21,2404,4,18,100,1914,5,14,0,0,0
359,60,4710,0,1,522,100,7,17,0,0,0
360,36,2704,4,76,1374,4420,4,40,1,0,0
361,120,5006,6,14,1919,881,10,10,0,0,0
362,60,5409,0,0,0,0,14,0,0,0,0
363,12,4607,1,41,1814,2278,2,10,0,0,0
364,60,4306,0,12,625,3540,10,73,1,0,0
365,24,5105,4,34,1104,5311,12,38,1,0,0
366,27,5010,4,12,1650,1409,6,27,0,0,0
367,24,5705,6,16,2001,2696,18,36,0,0,0
368,60,3708,2,37,395,1445,2,11,0,0,0
369,84,4005,0,10,522,601,4,21,0,0,0
370,60,3802,1,30,127,1579,6,23,0,0,0
371,36,5800,0,2,347,700,19,28,0,1,0
372,48,5605,1,11,396,1990,10,24,0,1,0
373,72,3405,1,40,9053,5536,5,74,1,0,0
374,30,2406,3,21,298,1757,8,24,0,1,0
375,48,6503,0,18,22,1202,13,22,1,0,0
376,60,2905,2,3,1950,245,14,35,0,0,0
377,36,3401,4,21,1817,3160,15,37,0,0,0
378,60,2707,0,8,2349,946,9,0,0,0,0
379,60,5210,6,7,3167,816,10,10,0,0,0
380,12,3909,4,20,638,2089,11,30,0,0,0
381,60,4007,0,39,1497,7934,13,48,1,0,0
382,72,5303,1,42,3535,5504,10,126,1,0,0
383,36,4105,2,25,2837,3026,5,43,0,0,0
384,48,6102,0,12,1211,627,13,3,0,0,0
385,48,3608,0,39,82,2242,16,46,1,0,0
386,48,4303,6,44,264,2521,6,14,0,0,0
387,60,3700,0,23,42,2493,15,27,0,0,0
388,24,3009,0,35,266,2311,11,28,0,1,0
389,60,3906,6,8,402,162,3,22,0,0,0
390,60,3705,0,7,33427,10683,7,134,1,1,0
391,96,4701,4,27,78,1816,12,0,0,0,0
392,36,4005,6,3,12699,722,19,136,1,0,0
393,12,4707,0,15,18181,7618,16,54,1,1,0
394,24,4609,5,27,1020,2094,6,12,0,0,0
395,48,2108,2,58,146,2123,21,30,0,1,0
396,24,4409,0,14,299,1310,4,15,0,1,0
397,36,4408,3,7,34,293,10,20,0,0,0
398,24,2401,1,10,1306,1672,0,10,0,0,0
399,36,4306,2,58,2595,3434,8,23,1,0,0
400,9,3304,6,30,19,2622,8,10,0,0,0
401,36,2605,4,10,96,917,10,10,0,0,0
402,24,6202,2,58,2472,11278,1,67,1,0,0
403,120,3803,3,7,214,594,10,20,1,0,0
404,72,3809,6,5,2043,103,9,9,1,0,0
405,24,3003,6,2,965,76,4,20,0,0,0
406,60,4701,2,20,3847,4547,17,50,1,0,0
407,12,2411,2,27,260,1922,4,22,0,0,0
408,84,4810,0,8,320,517,9,14,1,0,0
409,42,3211,0,64,2117,4936,18,38,1,0,0
410,60,2309,6,3,76,48,9,43,1,0,0
411,60,2703,2,45,329,2904,11,9,0,0,0
412,60,2605,4,4,35,102,5,29,0,0,0
413,24,5401,2,9,2228,4813,10,39,0,0,0
414,48,3306,3,49,708,6673,16,35,0,1,0
415,60,3600,1,13,39,525,6,19,0,0,0
416,24,5208,6,41,13754,10842,16,93,0,1,0
417,72,3004,0,0,0,0,8,40,1,0,0
418,120,5900,0,4,1083,1200,10,8,0,0,0
419,36,5106,0,37,1974,2530,16,64,1,1,0
420,18,3006,4,6,895,146,12,10,0,0,0
421,108,4710,0,0,0,0,6,80,0,0,0
422,36,5310,0,71,1921,54015,14,0,0,1,0
423,18,3309,5,39,1842,3170,4,54,0,0,0
424,60,3411,0,0,0,0,9,28,1,0,0
425,60,3302,1,8,904,1041,9,0,0,0,0
426,60,4111,5,43,8868,6644,3,79,1,0,0
427,60,3010,0,11,450,1224,10,12,0,0,0
428,60,3410,6,32,82,4066,16,64,0,0,0
429,18,2408,5,10,12,826,4,10,0,0,0
430,60,5702,3,18,1375,2893,10,32,1,1,0
431,15,5707,6,2,795,63,17,0,0,0,0
432,42,6408,0,0,0,0,16,31,1,0,0
433,24,4009,6,2,2652,75,8,44,0,0,0
434,48,4303,3,33,445,2430,8,45,0,1,0
435,60,3804,0,25,153,5165,7,73,0,1,0
436,48,2811,0,17,3532,2138,16,26,0,0,0
437,18,5305,6,41,1035,1328,3,10,0,0,0
438,48,4210,1,3,1064,100,19,30,0,0,0
439,60,4701,1,19,94,1056,1,5,0,0,0
440,48,3901,6,1,2844,43,4,50,0,0,0
441,36,5705,3,3,3980,135,10,40,0,0,0
442,60,3401,6,41,1788,2941,2,32,0,0,0
443,36,2208,2,25,156,2018,3,23,0,1,0
444,36,3408,0,56,1333,3371,1,36,0,1,0
445,24,3600,0,33,542,1989,1,43,1,1,0
446,48,5410,0,0,0,0,7,18,0,0,0
447,36,3111,1,27,1,1986,16,10,0,0,0
448,60,5310,3,15,47,474,10,24,0,0,0
449,48,3008,6,27,492,1570,2,31,1,0,0
450,60,5603,3,35,7283,4483,10,53,1,0,0
451,15,4606,6,5,1670,83,2,33,0,0,0
452,72,3109,0,19,866,2429,14,10,0,0,0
453,48,5311,5,60,14083,21687,3,34,1,0,0
454,12,5311,5,20,5439,7903,14,36,0,0,0
455,60,4101,1,80,2831,5021,6,51,1,0,0
456,36,3102,3,30,566,4631,6,23,0,0,0
457,48,3808,4,15,1883,1298,18,62,0,0,0
458,120,3211,6,33,1800,3721,4,28,1,0,0
459,72,3805,0,24,389,2066,17,19,0,0,0
460,48,2902,1,42,190,1853,5,21,0,0,0
461,60,6308,0,13,696,697,9,36,0,1,0
462,24,3206,0,33,1125,3808,8,60,0,0,0
463,48,5605,4,3,437,261,4,30,0,0,0
464,36,3106,0,4,445,558,6,15,0,0,0
465,48,5301,5,12,3877,1983,4,20,0,0,0
466,36,2005,0,38,311,1590,2,24,0,1,0
467,12,2803,0,45,192,1720,3,20,0,0,0
468,60,5602,1,20,2419,1257,16,22,1,1,0
469,48,4208,0,36,104,2585,9,45,1,1,0
470,12,3909,6,18,5,1590,10,18,0,1,0
471,60,4510,5,3,11953,1051,14,30,0,0,0
472,36,3200,6,35,315,2430,13,26,0,0,0
473,42,5611,3,21,952,3305,6,24,0,1,0
474,60,4504,2,11,234,750,11,11,1,0,0
475,42,3310,5,3,2981,100,7,24,0,0,0
476,24,5605,0,25,4869,3118,11,7,0,1,0
477,24,5400,6,6,3509,610,4,26,0,0,0
478,36,3203,0,0,0,0,3,47,1,0,0
479,60,5108,5,15,9,3264,11,42,0,0,0
480,24,6100,6,21,42,2373,7,50,0,1,0
481,21,5400,5,5,4328,777,11,19,1,0,0
482,42,6203,5,1,64,11,26,47,1,0,0
483,18,4711,6,15,6988,800,11,35,0,0,0
484,12,2409,3,27,399,1357,10,18,0,0,0
485,36,4911,5,40,2478,4624,3,89,0,0,0
486,54,5803,6,1,7910,170,18,31,0,0,0
487,18,4310,0,21,11148,22466,7,34,0,1,0
488,24,2800,4,19,1342,1364,3,10,0,0,0
489,120,5206,6,17,1008,1382,10,25,0,0,0
490,36,5104,5,6,208,173,10,22,1,0,0
491,24,5010,1,69,1817,5647,5,64,1,0,0
492,18,3910,2,34,509,2414,1,40,0,1,0
493,36,5509,4,40,4278,6288,9,1,0,0,0
494,18,4106,5,87,1326,2938,5,26,1,0,0
495,50,4422,0,30,1495,4345,10,79,0,1,0
496,52,6497,0,15,608,1039,5,18,0,0,0
497,60,2616,5,38,319,3265,11,36,0,1,0
498,80,3436,1,4,45,453,1,10,0,0,0
499,74,5284,2,11,40,391,10,24,0,0,0
500,60,3235,0,8,1074,1251,9,38,0,0,0
501,57,4890,0,14,451,2743,11,32,0,1,0
502,54,5113,2,41,3024,5078,6,108,0,0,0
503,32,2563,4,10,78,898,8,10,0,0,0
504,13,3022,5,45,830,2876,2,43,0,0,0
505,50,2621,3,1,1370,79,8,26,0,0,0
506,50,5151,3,21,652,1350,6,7,0,0,0
507,49,2965,1,52,2078,4686,14,52,1,0,0
508,62,5552,1,120,876,5275,6,27,0,0,0
509,60,4972,1,17,419,4277,0,46,0,0,0
510,36,5023,0,0,32,27,17,104,0,0,0
511,26,3998,1,25,506,2392,5,35,0,1,0
512,51,3775,4,14,1904,1165,14,54,0,0,0
513,54,4126,4,42,78,3491,5,60,1,0,0
514,47,2254,6,3,71,38,6,34,0,0,0
515,43,2904,2,2,30,49,8,45,0,0,0
516,53,3203,2,14,185,1166,12,28,0,0,0
517,38,6226,0,8,339,646,10,19,0,0,0
518,55,4180,2,47,19967,10400,4,43,0,0,0
519,29,5648,0,23,4772,3110,11,7,0,0,0
520,60,6028,0,1,149,166,9,46,0,1,0
521,53,2962,0,4,387,538,6,13,0,0,0
522,60,3609,5,22,208,1882,10,0,0,0,0
523,36,3434,0,39,128,3449,9,31,0,1,0
524,64,6136,1,19,1585,2419,10,57,0,0,0
525,55,4618,5,4,11911,1102,12,29,0,0,0
526,35,5135,3,20,1845,1947,14,18,0,0,0
527,55,3423,0,19,367,2882,9,48,0,0,0
528,34,2998,0,16,370,1554,12,21,0,0,0
